제목,채널명,업로드 날짜,영상 길이,구독자수,조회수 한글표현,조회수,반응도 (조회수/구독자),반응 해석,영상 링크,thumbnail_url
Information Technology in 5 mins | What is IT,Explore with Epaphra,2024-07-12T10:00:11Z,7분 4초,"657,000",8만 5천 9백,"85,966",0.13,관심도 낮음,https://www.youtube.com/watch?v=6c0vhEi70pQ,https://img.youtube.com/vi/6c0vhEi70pQ/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 장려상_안드로이드 위/변조 방지 도구,한아전 (한국IT전문학교),2020-11-27T08:31:09Z,3분 17초,838,1백,101,0.12,관심도 낮음,https://www.youtube.com/watch?v=xikKDYKW4g8,https://img.youtube.com/vi/xikKDYKW4g8/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 장려상_코드 가상화,한아전 (한국IT전문학교),2020-11-27T08:31:46Z,1분 23초,838,98,98,0.12,관심도 낮음,https://www.youtube.com/watch?v=NIAz0IliewE,https://img.youtube.com/vi/NIAz0IliewE/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 장려상_DME(Document Malware Extraction),한아전 (한국IT전문학교),2020-11-27T08:31:35Z,6분 13초,838,90,90,0.11,관심도 낮음,https://www.youtube.com/watch?v=lEWzRXgAxh8,https://img.youtube.com/vi/lEWzRXgAxh8/hqdefault.jpg
"IT운영자동화 구축, 실무자들의 속내 이야기 (서린정보기술 김태우 팀장, 최창훈 팀장)",잇츠맨 IT's MAN,2025-06-17T11:01:15Z,1분 26초,"3,030",2백,292,0.1,관심도 낮음,https://www.youtube.com/watch?v=iBlZol3FYrg,https://img.youtube.com/vi/iBlZol3FYrg/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 출품작_'나'를 인증하는 '얼굴',한아전 (한국IT전문학교),2020-11-27T08:25:06Z,1분 16초,838,81,81,0.1,관심도 낮음,https://www.youtube.com/watch?v=zz01Ss7PLho,https://img.youtube.com/vi/zz01Ss7PLho/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 장려상_비식별화 프로그램,한아전 (한국IT전문학교),2020-11-27T08:29:52Z,4분 11초,838,81,81,0.1,관심도 낮음,https://www.youtube.com/watch?v=_A05a5xYV4E,https://img.youtube.com/vi/_A05a5xYV4E/hqdefault.jpg
#IT mcq#most repeated IT MCQs#competitive exams mcq#information technology viral mcqs#quiz#important,Quick Teacher Tube,2025-06-12T10:16:01Z,2분 3초,"1,070",1백,101,0.09,관심도 낮음,https://www.youtube.com/watch?v=UxJoMaXg1Hc,https://img.youtube.com/vi/UxJoMaXg1Hc/hqdefault.jpg
"[소개] 알고 싶었던 모든 IT정보, IT조선에서 확인하자!",테크잼 연구소 - Tech Jam Lab,2018-09-21T06:37:09Z,37초,"30,900",2천 5백,"2,516",0.08,관심도 낮음,https://www.youtube.com/watch?v=t_8wZIilcJs,https://img.youtube.com/vi/t_8wZIilcJs/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 출품작_윈도우 기반의 자신의 IP스니핑,한아전 (한국IT전문학교),2020-11-27T08:28:52Z,2분 17초,838,71,71,0.08,관심도 낮음,https://www.youtube.com/watch?v=FIcehCABpI4,https://img.youtube.com/vi/FIcehCABpI4/hqdefault.jpg
